segment_id,min_latitude,max_latitude,segment_name
18,41.998462,60,Pacific North West
17,41.0583544557967,41.998462,Crescent City
16,40.611497140538496,41.0583544557967,Eureka
15,39.797833501209404,40.611497140538496,Humbolt
14,38.83046491069889,39.797833501209404,Fort Bragg
13,38.127490406952894,38.83046491069889,Bodega Bay
12,37.894790585652,38.127490406952894,Point Reyes
11,37.1352088220735,37.894790585652,San Francisco
10,36.638142100893,37.1352088220735,Monterey Bay
9,35.8838699092878,36.638142100893,Big Sur
8,35.2400200235579,35.8838699092878,Morro Bay
7,34.4786167517038,35.2400200235579,Northern Point Conception
6,34.3579683938572,34.4786167517038,Southern Point Conception
5,34.0385332044348,34.3579683938572,Point Mugu
4,33.5972408058374,34.0385332044348,LA/Orange County
3,32.7804206550799,33.5972408058374,North County/San Diego
2,32.534365,32.7804206550799,Chula Vista
1,26.70548,32.534365,Baja
